"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921738.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905146.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906239.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192033419.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905646.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906240.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921735.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905723.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906236.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905727.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921710.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905147.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921736.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192384102.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905647.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921737.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906237.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905724.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921711.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906234.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192905725.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906241.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/temp/2885/stanhoe-(3).jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://www.google.co.uk/maps?saddr=&daddr=52.89275302460308,0.6776986004575747","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","1","0.097","https://consent.google.co.uk/ml?continue=https://www.google.co.uk/maps?saddr%3D%26daddr%3D52.89275302460308,0.6776986004575747&gl=GB&m=0&pc=m&uxe=eomtm&cm=2&hl=en&src=1","HTTP Redirect"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921709.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906238.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378930.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379058.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379041.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379032.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378934.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379036.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378917.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378939.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378913.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379033.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379042.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379068.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378916.jpg","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://www.google.co.uk/maps?saddr=&daddr=52.834591,0.640914","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","2","0.066","https://consent.google.co.uk/ml?continue=https://www.google.co.uk/maps?saddr%3D%26daddr%3D52.834591,0.640914&gl=GB&m=0&pc=m&uxe=eomtm&cm=2&hl=en&src=1","HTTP Redirect"
"https://unpkg.com/leaflet@1.9.2/dist/leaflet.js","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.080","",""
